metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
15980,"Cape Coral-Fort Myers, FL Metro Area",17352,334457,60727,16665,739224,6348,5.188110878229488,15980,0.022543910911983378,0.3809180918091809,0.0989399293286219,0.2393026941362916,97.9,0.07623578333080323,-0.14390968409354876,1.0355686058037954,0.8071406183562206,0.7916692507397928,0.41823588458243577
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",64513,1292827,51830,60546,2509831,17968,4.990072144223473,36740,0.02412353660465585,0.2967660952003435,0.12868979803210773,0.3746671356076973,97.9,0.07606009589655928,-0.14390968409354876,1.2655283733809843,-0.0735001013370602,0.9817771389900652,0.41415020629175114
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",80735,1510326,51119,76198,3091399,22994,5.345534672646832,45300,0.024648387348252362,0.3017664505630069,0.01312910284463895,0.00564720530036907,96.5,0.07604605590940097,0.27734318428756194,1.3419354333383167,-0.021171972204642557,0.24332010760663,0.41334607743667384
36260,"Ogden-Clearfield, UT Metro Area",9879,329019,62253,13409,666547,4958,3.002562162063589,36260,0.020117111021428345,0.36975165933328363,-0.01593625498007968,-0.22549869904596703,95.7,0.07626591697412753,0.5180591090767662,0.6822783666179386,0.6902852194559419,0.05758638715332411,0.3876723888177021
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",68161,1119411,66054,27970,2204079,9715,6.089005736052263,29820,0.012690107750221294,0.34733643189131214,0.10134501094776353,-0.001639209900827801,95.4,0.07634097462699493,0.6083275808727173,-0.3989347042788016,0.4557125079094478,0.8070382257171844,0.32495842426583554
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",60760,1332355,61652,55875,2451560,19591,4.560346153990491,38900,0.022791610240010442,0.3506219239373602,0.11182916549592582,0.21785126061066767,99,0.0762540491368812,-0.47489408067870414,1.0716283382874834,0.4900947946830745,0.8740341678205218,0.3109245663136735
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",62719,1324418,61842,45610,2525305,14169,4.735589519320939,16740,0.01806118468858217,0.3106555579916685,0.13761097659402743,0.04883017875920084,97.4,0.0762578010321837,0.006537768899704451,0.3829793973429707,0.07185148866218337,1.038785337379574,0.30875098668707535
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",205285,3466067,65203,98043,6892427,31819,5.922707206756246,26420,0.01422474260518102,0.3245412727068735,0.12602249488752557,0.09957089552238806,96.2,0.07632417008540321,0.36761165608351304,-0.17552464188273217,0.21716385548687653,0.9647325135769651,0.30510629072966877
44060,"Spokane-Spokane Valley, WA Metro Area",14130,276455,60161,9745,564291,3164,5.111139245085095,44060,0.01726945848861669,0.3246793227296049,0.03803486529318542,0.6981258366800536,96,0.07622460663216526,0.4277906372808152,0.26772097012607227,0.21860853269325325,0.402473142920743,0.299481788389366
19740,"Denver-Aurora-Lakewood, CO Metro Area",54739,1640301,66617,82912,2888227,27777,3.33713141673388,19740,0.028706884881278375,0.3350178502508684,0.10547045951859957,0.050207742787248086,100.8,0.07635209208518078,-1.016504911454415,1.9327660039833647,0.32680000388572783,0.8334007056226789,0.2962322872904932
