metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices
10140,"Aberdeen, WA Micro Area",1783,30345,46489,1283,72697,562,5.875762069533696,10140,0.01764859622817998,0.4380358534684334,NA,NA,NA
10180,"Abilene, TX Metro Area",3047,82693,65274,2906,169747,1141,3.6847133372836876,10180,0.017119595633501624,0.39263592567102545,-0.13658536585365855,0,97.1
10300,"Adrian, MI Micro Area",2133,47990,77009,1379,98623,165,4.444675974161283,10300,0.013982539569877208,0.11965192168237854,NA,NA,NA
10380,"Aguadilla-Isabela, PR Metro Area",16411,98418,18331,3210,306e3,1266,16.674795261029487,10380,0.010490196078431373,0.394392523364486,NA,NA,NA
10420,"Akron, OH Metro Area",19389,372300,60426,11706,703505,3274,5.207896857373086,10420,0.016639540586065486,0.2796856313001879,-0.05043227665706052,-0.04590969204609862,95.9
10460,"Alamogordo, NM Micro Area",2564,30077,120316,719,65817,256,8.524786381620507,10460,0.010924229302459851,0.3560500695410292,NA,NA,NA
10500,"Albany, GA Metro Area",7283,69712,71619,1788,151754,393,10.44726876291026,10500,0.01178222649814832,0.2197986577181208,-0.28,-0.11794871794871795,97
10540,"Albany, OR Metro Area",5187,59546,50945,1604,125047,481,8.710912571793235,10540,0.012827176981454974,0.29987531172069826,NA,NA,99.4
10580,"Albany-Schenectady-Troy, NY Metro Area",24725,474748,75068,13604,886188,3114,5.2080261528221286,10580,0.015351144452418674,0.22890326374595707,0.02073050345508391,-0.08140610545790934,98
10700,"Albertville, AL Micro Area",2017,39984,45718,902,95548,252,5.0445178071228485,10700,0.00944028132456985,0.2793791574279379,NA,NA,NA
10740,"Albuquerque, NM Metro Area",22800,435802,55563,14282,913113,5268,5.231733677220389,10740,0.015640999525798012,0.368855902534659,-0.05482233502538071,0.05053946621237933,95.4
10780,"Alexandria, LA Metro Area",4682,65676,33750,1445,153984,518,7.1289359887934705,10780,0.009384091853699086,0.35847750865051903,-0.28402366863905326,-0.2563559322033898,97.3
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",24525,439346,65828,12255,840550,3315,5.582160757125363,10900,0.014579739456308369,0.27050183598531213,0.02608695652173913,0.0703757525430766,98.6
11020,"Altoona, PA Metro Area",3081,58233,53405,955,123457,430,5.290814486631292,11020,0.007735486849672356,0.450261780104712,0.045454545454545456,0.6698292220113852,98
11100,"Amarillo, TX Metro Area",4719,133085,67332,2947,266575,462,3.5458541533606343,11100,0.011055050173497139,0.15676959619952494,0.0781758957654723,0.04977079240340537,97.6
11180,"Ames, IA Metro Area",1331,51323,64167,697,97502,221,2.5933791867194045,11180,0.007148571311357716,0.3170731707317073,0.011363636363636364,-0.03736920777279522,92.9
11260,"Anchorage, AK Metro Area",13579,214937,65532,5612,400888,1772,6.317665176307476,11260,0.013998922392289118,0.315751960085531,-0.1407766990291262,-0.2508028259473346,102.1
11460,"Ann Arbor, MI Metro Area",7160,199415,61314,6993,367627,2592,3.5905022189905473,11460,0.01902199784020216,0.37065637065637064,-0.05612244897959184,-0.09276520195295163,98.2
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",3399,52485,50855,1925,114728,722,6.476136038868248,11500,0.016778815982149083,0.37506493506493505,-0.11764705882352941,0.0841300191204589,97.9
11540,"Appleton, WI Metro Area",2979,132814,100158,3995,236126,928,2.242986432153237,11540,0.016918933111982587,0.23229036295369213,-0.08527131782945736,0.11862068965517242,97.2
11640,"Arecibo, PR Metro Area",6614,57781,-666666666,465,181643,0,11.446669320364826,11640,0.002559966527749487,0,NA,NA,NA
11700,"Asheville, NC Metro Area",7077,230328,42143,13449,456145,4288,3.072574762946754,11700,0.029484045643380943,0.3188341140605249,0.018691588785046728,-0.23624595469255663,95.9
11780,"Ashtabula, OH Micro Area",3218,42659,53668,1292,97807,452,7.543542980379287,11780,0.013209688468105555,0.3498452012383901,NA,NA,NA
11900,"Athens, OH Micro Area",1776,29537,54531,607,66597,171,6.012797508210042,11900,0.009114524678288811,0.28171334431630973,NA,NA,NA
11980,"Athens, TX Micro Area",2116,34046,41747,1281,81064,501,6.215120719027198,11980,0.015802329023981054,0.3911007025761124,NA,NA,NA
12020,"Athens-Clarke County, GA Metro Area",6162,104346,65955,3511,206937,1060,5.905353343683514,12020,0.016966516379381163,0.3019082882369695,0.07792207792207792,0.2107250755287009,97.6
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",158400,3097014,60143,143950,5882450,47052,5.114603937857562,12060,0.024471096226912258,0.32686349426884337,-0.010934871425138187,-0.0060588630045058,98.3
12100,"Atlantic City-Hammonton, NJ Metro Area",11907,140155,91799,3584,269918,566,8.495594163604581,12100,0.013278106684252255,0.15792410714285715,-0.13141025641025642,-0.06503014642549526,101.2
12180,"Auburn, NY Micro Area",1612,38515,115225,1114,77603,197,4.185382318577178,12180,0.014355115137301392,0.17684021543985637,NA,NA,NA
12220,"Auburn-Opelika, AL Metro Area",3525,77563,58503,2926,161604,722,4.5446927014169125,12220,0.018105987475557535,0.24675324675324675,-0.03205128205128205,0.043601895734597156,91.3
12260,"Augusta-Richmond County, GA-SC Metro Area",20526,279741,52147,6960,600600,2048,7.3375014745782705,12260,0.011588411588411588,0.2942528735632184,-0.06938775510204082,-0.6531150423030436,97.4
12300,"Augusta-Waterville, ME Micro Area",3256,62063,33104,2107,121821,860,5.246282003770363,12300,0.01729586852841464,0.40816326530612246,NA,NA,NA
12420,"Austin-Round Rock, TX Metro Area",42702,1176169,62511,43786,2115827,14429,3.6306007044905964,12420,0.02069450857749712,0.32953455442378843,0.25213675213675213,0.49121805846173355,97.9
12540,"Bakersfield, CA Metro Area",35445,378872,61045,9687,893119,2677,9.355402352245614,12540,0.010846259009157795,0.27634974708372045,0.005284015852047556,-0.3373185311699402,95.4
12580,"Baltimore-Columbia-Towson, MD Metro Area",77817,1512801,65659,48919,2808175,14202,5.143901940836898,12580,0.017420210635020965,0.29031664588401235,0.06395348837209303,0.007054191502160004,102.8
12620,"Bangor, ME Metro Area",2955,78024,51136,2354,151957,586,3.7872962165487545,12620,0.01549122449113894,0.24893797790994052,0.13855421686746988,0.7136842105263158,98
12700,"Barnstable Town, MA Metro Area",3749,109278,82152,8006,213444,2483,3.430699683376343,12700,0.037508667378797246,0.3101423932050962,0.01078167115902965,-0.21254946297343133,98
12940,"Baton Rouge, LA Metro Area",27724,417917,62060,14855,834159,5635,6.633853133516943,12940,0.01780835548138904,0.3793335577246718,-0.08436213991769548,0.005238021876444308,96.6
12980,"Battle Creek, MI Metro Area",5157,64445,51579,1351,134128,509,8.00217239506556,12980,0.010072468090182512,0.3767579570688379,-0.03296703296703297,0.5936920222634509,97.2
13020,"Bay City, MI Metro Area",3930,49216,62361,1079,104239,365,7.9852080624187245,13020,0.010351212118305048,0.3382761816496756,-0.075,-0.35470941883767537,97.2
13140,"Beaumont-Port Arthur, TX Metro Area",9765,182193,50216,3459,411339,1429,5.359700976437074,13140,0.008409122402689753,0.41312518068806015,-0.20822622107969152,-0.38636363636363635,97.5
13180,"Beaver Dam, WI Micro Area",2850,47274,48167,862,87786,171,6.0286838431273,13180,0.009819333378898686,0.19837587006960558,NA,NA,NA
13220,"Beckley, WV Metro Area",4377,46839,27311,765,118543,228,9.344776788573625,13220,0.006453354478965439,0.2980392156862745,NA,NA,91.3
13380,"Bellingham, WA Metro Area",5708,117311,48905,6460,221404,2173,4.865698868818781,13380,0.029177431302054163,0.3363777089783282,0.10324483775811209,0.10734072022160665,95.4
13460,"Bend-Redmond, OR Metro Area",4904,96722,96305,7070,186875,2501,5.070201195177932,13460,0.03783277591973244,0.35374823196605376,0.14878048780487804,-0.14118273841236015,99.4
13740,"Billings, MT Metro Area",3241,92731,38338,5381,172081,1855,3.495055590902719,13740,0.03127015765831207,0.34473146255342874,0.01773049645390071,0.05281385281385281,95.6
