"RPP2 Regional Price Parities by MSA and state portion"
"RPPs: Goods (index)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"17900","Columbia, SC (Metropolitan Statistical Area)",97.3
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",97.8
"18020","Columbus, IN (Metropolitan Statistical Area)",92.9
"18140","Columbus, OH (Metropolitan Statistical Area)",96.9
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",97.6
"18700","Corvallis, OR (Metropolitan Statistical Area)",99.4
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",94.9
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",97.9
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",99.0
"19140","Dalton, GA (Metropolitan Statistical Area)",91.3
"19180","Danville, IL (Metropolitan Statistical Area)",92.9
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",97.9
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",97.1
"19380","Dayton, OH (Metropolitan Statistical Area)",97.2
"19460","Decatur, AL (Metropolitan Statistical Area)",97.9
"19500","Decatur, IL (Metropolitan Statistical Area)",97.2
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",97.9
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",100.8
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",97.1
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",98.2
"20020","Dothan, AL (Metropolitan Statistical Area)",96.5
"20100","Dover, DE (Metropolitan Statistical Area)",97.9
"20220","Dubuque, IA (Metropolitan Statistical Area)",97.2
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",96.9
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",97.7
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",98.0
"20740","Eau Claire, WI (Metropolitan Statistical Area)",97.2
"20940","El Centro, CA (Metropolitan Statistical Area)",99.4
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",91.3
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",97.2
"21300","Elmira, NY (Metropolitan Statistical Area)",98.0
"21340","El Paso, TX (Metropolitan Statistical Area)",97.8
"21420","Enid, OK (Metropolitan Statistical Area)1/",97.9
"21500","Erie, PA (Metropolitan Statistical Area)",98.0
"21660","Eugene, OR (Metropolitan Statistical Area)",95.4
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",97.2
"21820","Fairbanks, AK (Metropolitan Statistical Area)",99.4
